created_at,username,cleaned_text,hashtags,favorite_count,retweet_count,reply_count,quote_count,image_url,location,lang,tweet_url,engagement,sentiment
2025-09-23 08:06:28+00:00,,komunikasi publik seperti ini yang diperlukan knp negara ngutang knp gak ngutang hrs ada alasan yg bisa diterima publik dan yg penting lagi selau memberikan optimisme menkeu purbaya yakin utang negara tak akan bertambah terlalu besar,[],690,206,25,2,https://pbs.twimg.com/amplify_video_thumb/1970398303243370496/img/79biISUrJDmpAWqB.jpg,,in,https://x.com/undefined/status/1970399354004680819,896,positive
2025-09-22 12:36:08+00:00,,sebenernya keduanya punya metode dan kebijakan yg berbeda apakah bu sri mulyani salah engga apakah pak purbaya salah engga trus siapa yg salah gaaada semuanya gaada yg salah adanya yg terbaik mana yg terbaik ya kita gabisa menentukan karena ekonomi itu dinamis,[],683,59,11,4,,,in,https://x.com/undefined/status/1970104828463653271,742,positive
2025-09-23 02:04:40+00:00,,gayus tambunan bongkar 5 modus permainan pajak 1 melakukan negosiasi surat ketetapan pajak skp negosiasi terjadi di tingkat tim pemeriksa pajak tujuannya untuk menaikkan atau menurunkan nilai pajak gtgtgt purbaya kejar 200 penunggak pajak senilai rp60t,[],354,120,14,12,https://pbs.twimg.com/ext_tw_video_thumb/1970308223778615296/pu/img/9ylX-oGf6012Anw7.jpg,,in,https://x.com/undefined/status/1970308302556078562,474,neutral
2025-09-23 12:42:46+00:00,,menkeu purbaya beri peringatan keras dan meminta seluruh petugas pajak untuk tidak melakukan pemerasan utamanya terhadap wajib pajak yang sudah patuh kita melakukan fair treatment kalau sudah bayar pajak jangan diganggu sama sekali dan enggak ada lagi cerita pegawai pajak,[],297,94,52,10,https://pbs.twimg.com/media/G1iDAEWbMAAR6_S.jpg,,in,https://x.com/undefined/status/1970468884663968154,391,neutral
2025-09-22 13:10:01+00:00,,pada konpers apbn kita senin 22925 menteri keuangan purbaya mengaku memiliki daftar nama 200 penunggak pajak besar yang belum juga membayar utang pajak triliunan rupiah meski kalah di pengadilan kita punya list 200 penunggak pajak besar yang sudah inckracht kita mau kejar,[],253,78,65,11,https://pbs.twimg.com/media/G1c_e22a0AAWm6H.jpg,,in,https://x.com/undefined/status/1970113354527355080,331,neutral
2025-09-23 12:29:47+00:00,,memang uang tdk otomatis dipake belanja kalo bunga deposito turun tp orang2 berduit besar itu akan mencari cara lain utk mutar uang bs jadi mreka akan buka portofolio2 bisnis baru ini yg diharapkan purbaya yg dimaksud ekonomi jalan,[],314,3,1,0,,,in,https://x.com/undefined/status/1970465618416804177,317,neutral
2025-09-23 13:22:08+00:00,,ada pesan tersembunyi dalam kata2 pak purbaya selama ini org kaya yg gak mau sibuk gak mau mikir g mau capek tapi tetap dapat income adalah dengan cara deposito pak purbaya tdk maubkrn roda ekonomi gak gerak pesan tersembunyi nya kalian org kaya pakai duit kalian buat,[],219,4,3,0,,,in,https://x.com/undefined/status/1970478790628516190,223,negative
2025-09-23 05:27:16+00:00,,pada sidang paripurna dpr ri selasa 230925 menteri keuangan ri purbaya yudhi sadewa menyampaikan perkembangan ekonomi sekaligus pengelolaan apbn mendorong perekonomian menuju target pertumbuhan 8 apbn 2026 ditargetkan menjadi motor pembangunan dengan 8 fokus agenda,[],142,72,166,66,https://pbs.twimg.com/media/G1gfU6PbMAAnBk9.jpg,,in,https://x.com/undefined/status/1970359287932428704,214,neutral
2025-09-23 05:39:10+00:00,,kementerian keuangan akan mengejar 200 penunggak pajak besar yang belum juga membayar utang pajak triliunan rupiah meski kalah di pengadilan menteri keuangan purbaya yudhi sadewa mengaku memiliki daftar nama 200 penunggak pajak besar yang kasus sengketa pajaknya sudah inkracht,[],164,48,27,4,https://pbs.twimg.com/media/G1giC7haoAQlAu8.jpg,,in,https://x.com/undefined/status/1970362281549844651,212,neutral
2025-09-23 13:07:19+00:00,,cuma pengen ngasih tau doank gw gak bilang ini purbaya effect yak,[],166,31,30,2,https://pbs.twimg.com/media/G1iIlw-aoAoCIVd.jpg,,in,https://x.com/undefined/status/1970475063809085612,197,negative
2025-09-22 18:12:26+00:00,,dari kebijakan menkeu yang baru dan lama nilainya sri mulyani 5 purbaya 8 semoga ada hasilnya dalam waktu dekat sehingga ekonomi di daerah bisa berputar,[],147,50,1,0,https://pbs.twimg.com/ext_tw_video_thumb/1970189429924089856/pu/img/eOWrjQkLSBQ_kSEr.jpg,,in,https://x.com/undefined/status/1970189461364646003,197,neutral
2025-09-22 13:10:57+00:00,,perbaiki coretax 1 bulan purbaya cari orang jago it dari luar,[],146,24,41,124,,,in,https://x.com/undefined/status/1970113589131534482,170,neutral
2025-09-22 17:13:43+00:00,,gua sih pilih purbaya soalnya di indonesia koruptornya serem serem mending di amburin aja tuh duit dari pada di simpen ujung ujungnya di korupsi,[],149,2,0,1,,,in,https://x.com/undefined/status/1970174684508655997,151,negative
2025-09-24 03:06:43+00:00,,ini baru purbaya efek,[],114,25,18,0,https://pbs.twimg.com/media/G1lIwKrbMAAnbEu.jpg,,in,https://x.com/undefined/status/1970686306431967742,139,neutral
2025-09-23 03:49:06+00:00,,komisi xi dpr resmi menetapkan anggito abimanyu sebagai ketua dewan komisioner lembaga penjamin simpanan lps periode 2025 2030 ia menggantikan purbaya yudhi sadewa yang sebelumnya dilantik presiden prabowo sebagai menteri keuangan selain anggito komisi xi juga menetapkan,[],103,33,6,4,https://pbs.twimg.com/media/G1gI20uaoAARXwc.jpg,,in,https://x.com/undefined/status/1970334583007944797,136,neutral
2025-09-22 13:23:34+00:00,,purbaya yudhi sadewa akan menyikat pihak yang menjual rokok ilegal termasuk pihak bea cukai dan kemenkeu ghas terus pak,[],100,20,11,3,https://pbs.twimg.com/amplify_video_thumb/1970116501735919616/img/E8bYpDkw-2k0Tc6i.jpg,,in,https://x.com/undefined/status/1970116765549289967,120,neutral
2025-09-22 13:01:03+00:00,,menteri keuangan menkeu purbaya yudhi sadewa akan mengejar 200 penunggak pajak besar dengan nilai tagihan mencapai rp 60 triliun langkah ini dilakukan untuk meningkatkan penerimaan negara sekaligus mempercepat pertumbuhan ekonomi purbaya menyebut kementerian keuangan sudah,[],82,31,35,12,https://pbs.twimg.com/media/G1c9lbDXwAAJKyT.jpg,,in,https://x.com/undefined/status/1970111097630842953,113,neutral
2025-09-23 08:48:53+00:00,,menteri keuangan purbaya yudhi sadewa menghadiri rapat paripurna dpr ri terkait pengambilan keputusan ruu apbn 2026 selasa 2392025 dalam pidatonya purbaya menegaskan pentingnya strategi pembangunan berbasis sumitronomics dengan tiga pilar utama yakni pertumbuhan ekonomi,[],72,15,17,4,https://pbs.twimg.com/amplify_video_thumb/1970409576840470528/img/Qk5PDGvQ2WMEdBp2.jpg,,in,https://x.com/undefined/status/1970410028248244704,87,neutral
2025-09-22 13:13:58+00:00,,purbaya tegaskan data ekonomi ri tumbuh 5 12 persen bukan manipulasi,[],71,9,27,3,,,in,https://x.com/undefined/status/1970114349839884743,80,neutral
2025-09-22 13:29:24+00:00,,menkeu purbaya yudhi sadewa akan mengejar 200 penunggak pajak besar dengan nilai tagihan mencapai rp 60 triliun,[],59,17,5,2,https://pbs.twimg.com/amplify_video_thumb/1970118191797194752/img/FUi14nJPTyEhts3o.jpg,,in,https://x.com/undefined/status/1970118234973380996,76,neutral
2025-09-24 03:07:38+00:00,,diprotes hotman paris karena bunga deposito turun menkeu purbaya memang itu tujuan saya,[],57,17,8,2,https://pbs.twimg.com/ext_tw_video_thumb/1970686280641269760/pu/img/C90dfWINlXyWAY5W.jpg,,in,https://x.com/undefined/status/1970686534702768273,74,neutral
2025-09-24 02:12:14+00:00,,menteri keuangan menkeu ri purbaya yudhi sadewa mengancam para pengemplang pajak dengan total rp60 t buat segera melunasi kewajiban pajaknya dalam tenggat waktu 1 minggu ke depan lebih lanjut menkeu purbaya juga mengklaim udah mengantongi informasi soal penggelapan pajak,[],56,15,0,5,https://pbs.twimg.com/media/G1k8Rqdb0AA9MV5.jpg,,in,https://x.com/undefined/status/1970672593826181399,71,neutral
2025-09-23 08:27:42+00:00,,banyak yang bilang menkeu purbaya itu orangnya opung luhut dan itu salah dia orangnya hatta rajasa tapi itu dulu klo skrng purbaya ya purbaya pribadi bebas dgn karirnya sendiri,[],62,9,12,3,,,in,https://x.com/undefined/status/1970404695899521228,71,negative
2025-09-23 12:54:49+00:00,,purbaya sebut 200 penunggak pajak rp 60 triliun bakal dipaksa bayar dalam seminggu,[],50,19,8,3,,,in,https://x.com/undefined/status/1970471919544909892,69,neutral
2025-09-22 17:01:48+00:00,,hari ini saya berkesempatan bertemu dan berdiskusi dengan menteri keuangan ri yang baru bapak purbaya yudhi sadewa di kantor kemenkeu ri senin 22 september 2025 pertemuan ini menjadi awal yang baik untuk memperkuat kolaborasi pertahanan dan keuangan negara dengan sinergi,[],58,11,10,0,https://pbs.twimg.com/ext_tw_video_thumb/1970171587791069185/pu/img/z8FnJoxRC4ltuKVO.jpg,,in,https://x.com/undefined/status/1970171686051029342,69,neutral
2025-09-22 14:39:49+00:00,,sentil dirjen pajak menkeu purbaya ancam bawa ahli it bereskan coretax,[],40,24,0,0,,,in,https://x.com/undefined/status/1970135955144405381,64,neutral
2025-09-23 10:15:01+00:00,,bang lu udh jadi buzzer purbaya yak jgn terlalu eforia lah kita liat dulu hasilnya nanti sprt apa jgn ampe menyesal nanti,[],52,8,8,0,,,in,https://x.com/undefined/status/1970431701945098603,60,negative
2025-09-23 13:27:00+00:00,,menkeu purbaya ancam sikat oknum pegawai bea cukai yang terlibat peredaran rokok ilegal menteri keuangan purbaya yudhi sadewa berjanji akan membereskan peredaran rokok ilegal yang menghambat pendapatan negara melalui cukai ia menegaskan tidak segan menindak orangorang yang,[],37,12,4,1,https://pbs.twimg.com/amplify_video_thumb/1970418987860402178/img/dLP3TUI6-_Ua1T9p.jpg,,in,https://x.com/undefined/status/1970480016283902457,49,neutral
2025-09-23 12:36:07+00:00,,kejar 200 penunggak pajak kakap purbaya gandeng polri hingga kpk bisnis,[],37,9,11,0,,,in,https://x.com/undefined/status/1970467212034236712,46,neutral
2025-09-24 05:19:43+00:00,,purbaya yapping wong funding dan micro ngising belink,[],38,4,0,0,,,in,https://x.com/undefined/status/1970719774754975961,42,neutral
